759125,VEEMON,54713,80,617102,375
759378,BAJTEK13,55125,688,7015763,187
760210,pablo4394,43670,140,1414094,334
762233,nonna,43670,121,1353085,339
763372,Kurczakos14,55079,40,419703,394
766860,Irekw,55030,47,392043,398
767571,jeti69,54565,198,2202198,300
767612,catanpl,54565,1298,14921645,76
768907,jack26,42358,53,599042,377
769882,detomasso,54565,1117,12649780,104
771460,Gosyaczek,0,43,470956,393
771582,Gniewko+P,16650,849,9219908,155
772391,Czerwona-Armia,41084,339,3473985,260
773129,siniak1,54565,902,8392924,170
775188,tomi814,41084,1208,11973157,116
779019,polnibet,55087,1018,11708541,119
779051,niedzwiadeeek,54565,454,5086510,226
780011,SopHiron%2A,16650,1350,15847418,67
780445,sircht,54565,525,6055705,202
781833,ania01,43670,849,10318099,140
785121,unleashed,41084,1696,18406081,40
785154,Pawisz,54565,721,8761267,163
786678,pawkis,43670,708,8396674,169
788155,Mkot,54565,1393,13288494,95
788282,tymon5,54565,1091,12495832,106
790171,weezyr,54565,1486,16196388,63
794002,Gandaliusz,0,0,0,462
796750,wsn555,41084,87,1025043,354
800290,Luap,43670,149,1569517,325
803173,Matterk,16650,1118,12421483,107
804033,Fuss88,55091,36,119333,426
805701,fiesto9977,54760,17,196575,413
806757,Mohylowo,16650,364,3738473,251
807333,Tomekmio,55030,188,2127519,305
808132,konorus,16650,1199,13259881,96
809374,Sorgo1,54565,951,11533888,122
809413,ALeeXx91,55030,14,164364,418
812768,emlv,41084,986,11029341,131
815327,mariomendez,54565,867,9974386,145
815354,drinkers123,0,58,477247,391
816849,Miki129,16650,1241,12691890,103
817118,banditen,16650,1861,18736808,35
818400,CiechoCinek,43670,730,8748678,164
820122,czorny18,41084,387,4645513,238
820246,Asia-Koks,41084,150,1516427,329
822434,romikhehe3,43670,894,10800812,134
822540,Daro1969,41084,2100,25522439,6
823732,NUTER1982,16650,356,3347993,263
825059,Dasha,54565,141,1708216,318
